time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot
1755403200,117684.96,118230.82,117684.95,118005.98,117726.56957233707,119056.73291666702,119155.95233333304,119961.06136395862,117420.86388888893,117892.8418228486
1755417600,118005.98,118484,117922,118308.01,117920.38304822471,118962.46625000036,119148.81199999973,119829.13646048853,117416.06761111117,117902.06778234083
1755432000,118308,118575,118059.12,118246.16,118028.97536548314,118851.03041666701,119092.58399999973,119703.27526917592,117418.21155555561,117909.71427606659
1755446400,118246.15,118316.01,117321.53,117570.07,117876.0069103221,118635.44125000037,119022.74399999972,119574.12952412333,117419.29661111116,117902.16662548733
1755460800,117570.07,117995.37,117371.65,117405.01,117719.00794021474,118389.54875000037,118931.77499999972,119440.11650188462,117416.40866666673,117891.1187004765
1755475200,117405.01,117543.75,115000,115319,116919.0052934765,118055.4595833337,118793.00799999971,119274.78105846062,117399.72233333337,117833.96050713256
1755489600,115319,115712.49,114878.71,115205.98,116347.99686231767,117783.82083333371,118647.19399999971,119081.50589910874,117383.29411111116,117775.5609403074
1755504000,115205.99,115402.51,114640.14,114947.27,115881.08790821178,117533.72083333372,118459.75599999972,118861.7093813594,117364.51750000006,117712.71003052278
1755518400,114947.27,116186.97,114825,116145.34,115969.17193880785,117445.72458333371,118300.57999999971,118635.84532034707,117353.89100000003,117677.87958540006
1755532800,116145.34,116800,115818.86,116313.99,116084.11129253857,117377.72750000037,118086.23933333305,118410.04871342573,117344.48050000003,117647.57092794673
1755547200,116314,116980,115980.32,116227.05,116131.75752835904,117291.55916666705,117850.25999999972,118186.93946139334,117335.5196666667,117616.00379621457
1755561600,116227.05,116725.69,114787.23,114810,115691.1716855727,117118.27125000038,117566.0219999997,117951.79436895707,117318.03072222225,117553.6481562987
1755576000,114810.01,115483.24,114366,114978.14,115453.49445704847,116952.50833333371,117341.11633333306,117712.56120942117,117301.07877777782,117496.41464171428
1755590400,114978.15,115650,114804,115508.71,115471.89963803231,116806.78750000037,117159.75099999971,117479.94705453925,117287.91350000004,117452.24342745396
1755604800,115508.71,115875.84,113587.68,113786.38,114910.0597586882,116661.41916666704,117010.72199999973,117233.91021075542,117260.77611111115,117370.77979573276
1755619200,113786.39,113897.58,112767.06,113132.48,114317.5331724588,116502.92791666703,116850.27399999973,116968.32461536808,117232.8731666667,117276.5953558276
1755633600,113132.49,113589.48,112732.58,112872.94,113836.00211497254,116316.71500000036,116669.5356666664,116683.19050749057,117208.4721666667,117178.73634792032
1755648000,112872.95,113636.13,112566.01,113525.91,113732.63807664836,116154.06000000036,116488.10233333305,116390.1767579598,117181.3716666667,117097.56242907766
1755662400,113525.9,113837.93,113432,113490.13,113651.80205109892,115982.97916666704,116305.89166666639,116093.11410006783,117148.74644444448,117017.39726398705
1755676800,113490.14,114016.77,113060.08,113666.68,113656.76136739927,115828.31916666705,116127.91399999971,115798.79093964715,117124.28261111114,116942.9368803429
1755691200,113666.69,114326.35,112380,113353.94,113555.82091159951,115648.20416666703,115997.2046666664,115507.30882588052,117096.73138888892,116863.18139411307
1755705600,113353.94,114444,113264.01,114276.66,113796.10060773301,115506.72666666703,115908.55099999973,115233.10208905408,117082.89244444447,116805.70314091055
1755720000,114276.66,114615.38,114000,114271.24,113954.48040515534,115377.16750000037,115806.1906666664,114977.11903076807,117065.61955555558,116749.3817377792
1755734400,114271.23,114821.76,113906.01,113954.62,113954.52693677023,115221.73708333372,115690.35699999974,114737.34398990638,117047.53411111113,116687.2759213841
1755748800,113954.62,114033.84,113582.43,113896.03,113935.02795784682,115050.48916666704,115567.02233333307,114513.22799129372,117024.82494444445,116625.24823424224
1755763200,113896.03,113990,113000,113148.66,113672.90530523121,114835.51625000038,115426.02699999973,114295.01134551268,116991.45644444447,116547.99071792576
1755777600,113148.65,113995.11,112608.64,112792.08,113379.29687015414,114608.26291666705,115263.20633333307,114079.05135184065,116957.45666666668,116464.5260353052
1755792000,112792.08,112969.47,112015.67,112193.71,112984.10124676942,114384.24791666707,115080.5926666664,113859.89552312766,116918.07672222223,116369.61901229841
1755806400,112193.71,112870.94,112067.46,112500,112822.73416451295,114179.87250000039,114917.90399999973,113644.07960948725,116876.6632777778,116283.62747869176
1755820800,112500,113525,112335.6,112929.24,112858.2361096753,114080.29916666706,114759.38033333307,113439.02964541182,116845.08033333338,116209.08553472084
1755835200,112929.24,113394.76,112708.81,113094.83,112937.10073978353,113992.33458333374,114595.67533333306,113246.43238060085,116815.88300000003,116139.8798561715
1755849600,113094.83,113319.3,112177.27,112320,112731.40049318902,113882.8650000004,114396.07499999974,113056.70378069642,116781.33600000004,116054.99363714545
1755864000,112320.01,117296.12,111684.79,116370.75,113944.51699545934,113892.25708333374,114333.56133333307,112924.4267964609,116769.13244444446,116062.01044520889
1755878400,116370.75,117429.05,116116,116655.79,114848.27466363956,113906.49875000039,114303.08533333306,112847.8619071072,116759.47772222225,116075.20554642646
1755892800,116655.79,117174.43,116550.96,116935.99,115544.17977575971,113936.03791666708,114287.45133333305,112824.7634410693,116749.36661111117,116094.3340898392
1755907200,116936,117030,115458.2,115568.77,115552.37651717314,113967.65333333374,114295.77699999973,112830.20036703178,116733.14355555562,116082.65488784276
1755921600,115568.77,116034.53,115551.2,115799.47,115634.74101144876,114001.87541666708,114315.55999999972,112861.64002735041,116718.60611111116,116076.36189033513
1755936000,115799.46,115861.8,115223.43,115310.13,115526.53734096584,113993.6012500004,114327.65533333304,112906.1540615762,116700.3290555556,116059.33451499433
1755950400,115310.13,115486.97,114560,114812.87,115288.64822731055,114036.37166666707,114283.23966666638,112952.52782580144,116676.55250000006,116031.63530355002
1755964800,114812.88,115190.74,114684.11,115133.91,115237.06881820703,114119.76458333374,114243.90366666639,113002.02467388175,116655.3885555556,116011.68585236002
1755979200,115133.92,115454.12,115001.88,115438.05,115304.06254547136,114226.64416666707,114217.60366666639,113055.52301812859,116639.26111111118,115998.93838897425
1755993600,115438.06,115666.68,114934.21,115036,115214.70836364757,114289.56458333373,114225.13699999971,113103.06882240507,116637.12966666673,115977.53975810815
1756008000,115036.01,115283.21,114846.14,114888.19,115105.86890909838,114347.81708333374,114222.13866666639,113144.86412973754,116634.73066666673,115953.33198570576
1756022400,114888.19,115060.99,114600,114730.22,114980.65260606559,114392.1312500004,114196.18899999972,113181.63769189715,116624.65644444451,115926.15171935674
1756036800,114730.22,114869.41,114350.57,114400,114787.10173737706,114435.71708333374,114216.6429999997,113212.42086850347,116617.28377777783,115892.23723670437
1756051200,114400.01,114917.1,110680,112600,114058.06782491803,114365.8562500004,114198.8936666664,113215.87160472356,116594.56933333338,115819.07640922206
1756065600,112600,113692.97,111632.85,113493.59,113869.90854994535,114333.45416666707,114219.5819999997,113209.27383223324,116571.6764444445,115767.39893346158
1756080000,113493.59,113667.28,112159,112916.84,113552.2190332969,114290.21333333374,114199.27966666638,113188.45759790248,116546.27211111116,115704.05317938465
1756094400,112916.84,113059.52,111284.05,111511.55,112871.99602219794,114190.86000000041,114133.32699999971,113138.5596187456,116514.08922222228,115610.88644206499
1756108800,111511.56,111850.13,110929.48,111214.97,112319.65401479862,114110.28958333375,114051.60333333304,113061.77104926591,116477.6384444445,115513.1994100191
1756123200,111214.97,112580,110588,112200.64,112279.98267653241,114085.64625000041,114013.15999999971,112977.69761254505,116444.69700000004,115439.58697868534
1756137600,112200.65,112937.26,110655.01,110716.13,111758.69845102161,114024.08041666709,113894.47566666639,112870.52627060453,116402.94155555562,115334.6212680479
1756152000,110716.13,111092.54,109274.1,110111.98,111209.79230068107,113924.57958333375,113755.8336666664,112738.28805811728,116359.56372222227,115218.56257320239
1756166400,110111.98,110111.98,108666.66,109879.56,110766.38153378738,113797.50958333374,113619.99833333305,112584.52208705325,116313.4344444445,115099.91807157567
1756180800,109879.57,110547.31,109765.93,110303.2,110611.98768919159,113681.19166666707,113500.23733333305,112421.51787164505,116270.14138888895,114993.32433665177
1756195200,110303.2,110455.13,109570.34,109876.52,110366.8317927944,113579.3800000004,113391.16599999972,112247.15784959386,116224.60700000008,114879.61757361506
1756209600,109876.53,110818.6,109393.93,109666.33,110133.33119519627,113300.02916666708,113286.97433333306,112064.21606761868,116175.0547222223,114763.76673864583
1756224000,109666.34,111162.59,109450,111116.03,110460.89746346418,113069.20583333373,113251.05166666638,111896.02000102868,116131.47711111119,114682.70592223149
1756238400,111116.03,112371,110918.26,111763.22,110895.00497564279,112853.67375000041,113226.49233333305,111751.01624175352,116088.96416666673,114617.828457293
1756252800,111763.22,111825.16,110918.26,111418.15,111069.38665042853,112680.7312500004,113176.12266666637,111623.50314657086,116045.2428333334,114546.72449157538
1756267200,111418.15,111737.26,110622.5,110725.18,110954.65110028569,112469.3025000004,113097.13433333304,111504.72582517151,115999.82716666676,114461.80128065149
1756281600,110725.19,111374.45,110345.42,111322.07,111077.12406685713,112303.13333333372,113063.86999999972,111401.56070663764,115958.13038888897,114392.0294744148
1756296000,111322.07,112625,111019.02,112000,111384.74937790475,112185.93041666706,112918.17833333305,111320.01511573793,115923.82538888896,114338.87326387224
1756310400,111999.99,112600,111541.23,112080.69,111616.72958526983,112058.71291666705,112765.67499999973,111257.10515442774,115890.55850000007,114288.69141356398
1756324800,112080.68,112452.05,110921.79,111262.01,111498.48972351322,111884.7112500004,112576.54233333304,111198.80847856168,115852.77900000008,114221.43182659589
1756339200,111262.01,112042.04,110862.42,112000.01,111665.66314900882,111758.21166666706,112457.58366666638,111152.39845890536,115815.19655555561,114172.06689711598
